date,LM_median,LW_rstar
1985Q1,2.136128,3.547200
1985Q2,2.112167,3.422100
1985Q3,2.238238,3.588100
1985Q4,2.192465,3.361500
1986Q1,2.099235,3.423100
1986Q2,2.008188,3.203800
1986Q3,1.904704,3.215300
1986Q4,2.065025,3.177800
1987Q1,1.994688,3.028000
1987Q2,2.235665,3.146400
1987Q3,2.159336,3.129300
1987Q4,2.183818,3.335100
1988Q1,2.064797,3.197000
1988Q2,2.214993,3.400600
1988Q3,2.349825,3.366400
1988Q4,2.353318,3.460900
1989Q1,2.504352,3.490000
1989Q2,2.379637,3.386000
1989Q3,2.215367,3.301800
1989Q4,2.197847,3.260100
1990Q1,2.275820,3.494400
1990Q2,2.301349,3.454700
1990Q3,2.197415,3.336400
1990Q4,1.963931,2.883700
1991Q1,1.733099,2.644500
1991Q2,1.917464,2.726000
1991Q3,1.985135,2.756100
1991Q4,1.779158,2.621100
1992Q1,1.709652,2.669600
1992Q2,1.779036,2.660400
1992Q3,1.626287,2.530100
1992Q4,1.724261,2.557000
1993Q1,1.699852,2.384900
1993Q2,1.716869,2.355600
1993Q3,1.696452,2.188600
1993Q4,1.678515,2.249500
1994Q1,1.790072,2.187800
1994Q2,2.081635,2.352500
1994Q3,2.110849,2.220400
1994Q4,2.216601,2.252300
1995Q1,2.240304,2.168400
1995Q2,2.162742,2.119400
1995Q3,2.141235,2.162600
1995Q4,2.134606,2.222700
1996Q1,1.992255,2.224200
1996Q2,2.146513,2.472900
1996Q3,2.188313,2.490200
1996Q4,2.162654,2.630400
1997Q1,2.112296,2.544800
1997Q2,2.282979,2.831600
1997Q3,2.177321,2.800800
1997Q4,2.125662,2.811600
1998Q1,2.224370,2.876400
1998Q2,2.179158,2.956100
1998Q3,2.311147,3.150600
1998Q4,1.960203,3.333500
1999Q1,2.008977,3.308300
1999Q2,2.033798,3.354900
1999Q3,2.236654,3.440900
1999Q4,2.310266,3.635800
2000Q1,2.276555,3.535700
2000Q2,2.461933,3.657400
2000Q3,2.287315,3.522900
2000Q4,2.226224,3.534600
2001Q1,1.842595,3.413400
2001Q2,1.559525,3.392200
2001Q3,1.315222,3.086100
2001Q4,1.093032,3.116400
2002Q1,1.324838,3.078100
2002Q2,1.542215,3.098600
2002Q3,1.439244,2.964800
2002Q4,1.159179,2.702900
2003Q1,1.225153,2.562200
2003Q2,1.282462,2.535700
2003Q3,1.391297,2.747600
2003Q4,1.418953,2.756900
2004Q1,1.313020,2.673800
2004Q2,1.287387,2.642100
2004Q3,1.426040,2.519500
2004Q4,1.599947,2.574000
2005Q1,1.752657,2.688300
2005Q2,1.739034,2.524600
2005Q3,1.827864,2.454300
2005Q4,1.886431,2.496400
2006Q1,2.103557,2.651200
2006Q2,2.178161,2.688500
2006Q3,2.043557,2.501900
2006Q4,1.894441,2.505000
2007Q1,2.017265,2.567700
2007Q2,1.969307,2.457700
2007Q3,1.997708,2.474200
2007Q4,1.758321,2.586700
2008Q1,1.047912,2.245000
2008Q2,1.028113,2.134600
2008Q3,1.074217,1.846700
2008Q4,0.044237,0.961430
2009Q1,0.533766,0.747940
2009Q2,0.928461,0.908430
2009Q3,1.027325,0.880020
2009Q4,1.237616,1.137700
2010Q1,0.819293,0.951020
2010Q2,0.761546,0.924200
2010Q3,0.826140,0.822860
2010Q4,0.829682,0.798010
2011Q1,0.928516,0.632630
2011Q2,0.945169,0.762270
2011Q3,0.776949,0.602670
2011Q4,0.744524,0.712020
2012Q1,0.848854,0.892840
2012Q2,0.794345,0.757760
2012Q3,0.731024,0.604060
2012Q4,0.748861,0.588100
2013Q1,0.818762,0.676450
2013Q2,0.848160,0.558710
2013Q3,0.870390,0.721360
2013Q4,0.865019,0.818770
2014Q1,0.727430,0.543840
2014Q2,0.954184,0.818660
2014Q3,0.908703,0.932070
2014Q4,0.812037,0.840740
2015Q1,0.855912,0.878530
2015Q2,0.873451,1.078400
2015Q3,0.904822,1.044500
2015Q4,0.827536,0.976540
2016Q1,0.994028,1.151600
2016Q2,0.894990,1.251600
2016Q3,1.029835,1.279000
2016Q4,0.934460,1.233000
2017Q1,1.031348,1.269300
2017Q2,1.143986,1.186000
2017Q3,1.271216,1.223400
2017Q4,1.313195,1.418600
2018Q1,1.426819,1.561800
2018Q2,1.474083,1.551300
2018Q3,1.335505,1.483400
2018Q4,1.370918,1.454900
2019Q1,1.478495,1.496600
2019Q2,1.563357,1.622900
2019Q3,1.502921,1.731900
2019Q4,1.166300,1.738800
2020Q1,1.008056,1.719600
2020Q2,-0.194896,1.685500
2020Q3,1.901716,1.746400
2020Q4,1.411556,1.730300
2021Q1,1.335919,1.868800
2021Q2,1.547861,1.994800
2021Q3,1.093960,1.981700
2021Q4,1.309723,2.258200
2022Q1,1.030187,1.978600
2022Q2,1.231763,1.644100
2022Q3,1.834932,1.787700
2022Q4,2.003632,1.721400
2023Q1,2.045579,1.708700
2023Q2,2.091515,1.616800
2023Q3,1.990418,1.483600
2023Q4,1.990952,1.363100
2024Q1,2.081333,1.438600
2024Q2,2.172756,1.446600
2024Q3,2.080289,1.399500
2024Q4,1.720311,1.376400
2025Q1,1.681035,1.356200
2025Q2,1.966253,1.448300
2025Q3,1.920331,1.624100
2025Q4,1.626951,1.470100
2026Q1,1.735370,1.729000
