date,LM_median,HLW_rstar
1985Q1,2.136128282,
1985Q2,2.112167404,
1985Q3,2.238238054,
1985Q4,2.192464832,
1986Q1,2.09923534,
1986Q2,2.008188026,
1986Q3,1.904703858,
1986Q4,2.065025459,
1987Q1,1.994688094,
1987Q2,2.235665404,
1987Q3,2.159336165,
1987Q4,2.183818369,
1988Q1,2.064796756,
1988Q2,2.21499292,
1988Q3,2.349825259,
1988Q4,2.35331817,
1989Q1,2.504352372,
1989Q2,2.379637408,
1989Q3,2.215367212,
1989Q4,2.197847151,
1990Q1,2.275820403,
1990Q2,2.301349279,
1990Q3,2.197414973,
1990Q4,1.963930624,
1991Q1,1.733099216,
1991Q2,1.917464211,
1991Q3,1.985135108,
1991Q4,1.779157634,
1992Q1,1.709652249,
1992Q2,1.779035905,
1992Q3,1.626286672,
1992Q4,1.72426052,
1993Q1,1.699852186,
1993Q2,1.71686901,
1993Q3,1.696452141,
1993Q4,1.678515077,
1994Q1,1.790071557,
1994Q2,2.08163464,
1994Q3,2.11084894,
1994Q4,2.216600652,
1995Q1,2.240304133,
1995Q2,2.162742023,
1995Q3,2.141234641,
1995Q4,2.134606327,
1996Q1,1.992255479,
1996Q2,2.146512907,
1996Q3,2.188313071,
1996Q4,2.162653535,
1997Q1,2.112295946,
1997Q2,2.282979061,
1997Q3,2.177321097,
1997Q4,2.125662337,
1998Q1,2.224369567,
1998Q2,2.179158203,
1998Q3,2.311147191,
1998Q4,1.960203202,
1999Q1,2.008977385,
1999Q2,2.033797901,
1999Q3,2.236653746,
1999Q4,2.310265802,
2000Q1,2.276555216,
2000Q2,2.461932536,
2000Q3,2.2873149,
2000Q4,2.226223958,
2001Q1,1.842594959,
2001Q2,1.559525427,
2001Q3,1.315221761,
2001Q4,1.093031981,
2002Q1,1.324838071,
2002Q2,1.542214596,
2002Q3,1.439243919,
2002Q4,1.159179268,
2003Q1,1.225152944,
2003Q2,1.282462004,
2003Q3,1.391296902,
2003Q4,1.418953192,
2004Q1,1.313019657,
2004Q2,1.287386813,
2004Q3,1.426039538,
2004Q4,1.5999473,
2005Q1,1.752656814,
2005Q2,1.739034329,
2005Q3,1.827864275,
2005Q4,1.886430693,
2006Q1,2.10355675,
2006Q2,2.178161462,
2006Q3,2.043557134,
2006Q4,1.894440671,
2007Q1,2.017264757,
2007Q2,1.969307258,
2007Q3,1.997707695,
2007Q4,1.758320671,
2008Q1,1.047911996,
2008Q2,1.028112552,
2008Q3,1.074216966,
2008Q4,0.044237429,
2009Q1,0.533766353,
2009Q2,0.928461197,
2009Q3,1.027324762,
2009Q4,1.237616059,
2010Q1,0.819293011,
2010Q2,0.761546151,
2010Q3,0.826140172,
2010Q4,0.829682484,
2011Q1,0.928516084,
2011Q2,0.945168795,
2011Q3,0.776948659,
2011Q4,0.744523897,
2012Q1,0.848853558,
2012Q2,0.794345093,
2012Q3,0.731023783,
2012Q4,0.748861086,
2013Q1,0.818762152,
2013Q2,0.848159578,
2013Q3,0.870389777,
2013Q4,0.865019206,
2014Q1,0.727429644,
2014Q2,0.954184256,
2014Q3,0.908702972,
2014Q4,0.812036757,
2015Q1,0.855912216,
2015Q2,0.873450892,
2015Q3,0.904821543,
2015Q4,0.827535833,
2016Q1,0.994028241,
2016Q2,0.894989695,
2016Q3,1.029834678,
2016Q4,0.934460054,
2017Q1,1.031347816,
2017Q2,1.143986241,
2017Q3,1.271215967,
2017Q4,1.313195125,
2018Q1,1.426819297,
2018Q2,1.474083067,
2018Q3,1.335505477,
2018Q4,1.370918223,
2019Q1,1.478494935,
2019Q2,1.563357172,
2019Q3,1.502920757,
2019Q4,1.166299596,
2020Q1,1.008056332,
2020Q2,-0.194895765,
2020Q3,1.901715659,
2020Q4,1.411556293,
2021Q1,1.335919456,
2021Q2,1.547860818,
2021Q3,1.093960117,
2021Q4,1.309722617,
2022Q1,1.030186809,
2022Q2,1.231763054,
2022Q3,1.834932184,
2022Q4,2.003632068,
2023Q1,2.045578752,
2023Q2,2.091514549,
2023Q3,1.99041843,
2023Q4,1.990951532,
2024Q1,2.081333422,
2024Q2,2.172755688,
2024Q3,2.080289143,
2024Q4,1.720310931,
2025Q1,1.681034556,
2025Q2,1.96625299,
2025Q3,1.920331392,
2025Q4,1.62695052,
2026Q1,1.735370268,
